id,parentId,name,classificationId
1,,"Site Products",1
2,1,"Ground Anchorages",1
3,2,"Retaining Stabilizing Ground Anchors",1
4,3,"Retaining Stabilizing Ground Components",1
5,4,"Stabilizing Ground Anchor Heads",1
6,4,"Stabilizing Ground Tendons",1
7,3,"Stabilizing Ground Grouted Anchors",1
8,3,"Stabilizing Ground Plate Anchors",1
9,3,"Stabilizing Ground Rock Bolts",1
10,3,"Stabilizing Ground Rock Anchors",1
11,3,"Stabilizing Ground Anchor Tiebacks",1
12,2,"Earth Reinforcement Anchors",1
13,12,"Earth Reinforcement Soil Nails",1
14,1,"Ground Improvement Products",1
15,14,"Soil Stabilization Products",1
16,15,"Soil Stabilization Injectable Chemicals",1
17,15,"Soil Stabilization Pressure Grouting",1
18,15,"Ground Freezing Soil Stabilization",1
19,15,"Soil Stabilization Fills",1
20,19,"Soil Stabilization Fill Blocks",1
21,19,"Soil Stabilization Compressible Fill",1
22,15,"Other Soil Stabilizations",1
23,15,"Piped Field Drainage",1
24,23,"Field Drainage Land Drainage Pipes",1
25,15,"Field Drainage Blocks",1
26,15,"Field Drainage Geocomposite Drains",1
27,26,"Field Drainage Geocomposite Edge Drains",1
28,26,"Field Drainage Geocomposite In Place Wall Drains",1
29,15,"Geotextile Subsurface Drainage Filtration",1
30,1,"Sheeting and Revetments",1
31,30,"Sheeting Geosynthetics",1
32,31,"Sheeting Geotextiles",1
33,31,"Sheeting Geogrids",1
34,31,"Sheeting Geomembranes",1
35,31,"Sheeting Geocomposites",1
36,31,"Sheeting Mulch Control Netting",1
37,31,"Sheeting Synthetic Erosion Controls",1
38,31,"Sheeting Re vegetation Mats",1
39,31,"Sheeting Turf Reinforcement Mats",1
40,30,"Revetments",1
41,40,"Revetment Soil Blankets",1
42,40,"Pool Revetments",1
43,40,"Trench Revetments",1
44,40,"Revetment Rock Linings",1
45,40,"Revetment Ripraps",1
46,1,"Retention Structures",1
47,46,"Sheet Piles",1
48,46,"Retaining Walls",1
49,48,"Retaining Diaphragm Walls",1
50,49,"Retaining Slurry Wall Membranes",1
51,48,"Continuous Retaining Walls",1
52,48,"Retaining Crib Walls",1
53,46,"Gabions",1
54,46,"Fascines",1
55,1,"Slide and Avalanche Protection",1
56,55,"Bolt Down Snow Fences",1
57,55,"Clamp on Equipment",1
58,1,"Pavements",1
59,58,"Porous Paving",1
60,58,"Roadways",1
61,60,"Portable Roadways",1
62,60,"Roadway Surfacing",1
63,62,"Roadway Antiskid Texturing",1
64,60,"Detectable Warning Surfaces for Roadways",1
65,64,"Crosswalks",1
66,64,"Warning Tiles",1
67,58,"Runways",1
68,67,"Portable Runway",1
69,67,"Helicopter Landing Pads",1
70,67,"Runway Surfacing",1
71,70,"Runway Antiskid Texturing",1
72,58,"Paving Blocks",1
73,72,"Unit Pavers",1
74,73,"Asphalt Block Pavers",1
75,73,"Brick Pavers",1
76,73,"Interlocking Precast Concrete Pavers",1
77,73,"Precast Concrete Pavers",1
78,73,"Pressed Pavers",1
79,73,"Stone Pavers",1
80,58,"Pavement Slabs",1
81,58,"Pavement Drainage",1
82,81,"Culverts",1
83,82,"Pipe Culverts",1
84,83,"Metal Pipe Arch Culverts",1
85,82,"Concrete Culverts",1
86,85,"Concrete Arch Buried Bridge Culverts",1
87,85,"Concrete Arch Culverts",1
88,85,"Concrete Box Culverts",1
89,85,"Concrete Rigid Frame Culverts",1
90,81,"Catch Basins",1
91,81,"Channels",1
92,81,"Cleanouts",1
93,1,"Parking Controls",1
94,93,"Parking Meters",1
95,93,"Parking Ticket Dispensers",1
96,93,"Parking Coin Machine Units",1
97,93,"Parking Key and Card Control Units",1
98,93,"Parking Gates",1
99,93,"Parking Dividers",1
100,93,"Parking Signs",1
101,100,"Handicap Parking Signs",1
102,100,"Parking Time Zone Signs",1
103,100,"Parking Tow Away Signs",1
104,1,"Site Barrier Products",1
105,104,"Perimeter Entry Devices",1
106,105,"Anti Ram Wedge Barriers",1
107,104,"Perimeter Walls",1
108,107,"Precast Perimeter Concrete Panel Perimeter Walls",1
109,107,"Precast Perimeter Post Perimeter Walls",1
110,104,"Perimeter Gates",1
111,110,"Drop Arm Gates",1
112,111,"Anti Ram Drop Arm Gates",1
113,110,"Rolling Gates",1
114,110,"Sliding Gates",1
115,114,"Anti Ram Sliding Gates",1
116,114,"Anti Climb Sliding Gates",1
117,110,"Swinging Gates",1
118,110,"Folding Gates",1
119,104,"Gate Hardware",1
120,104,"Fences",1
121,120,"Barbed Wire Fences",1
122,120,"Concertina Wire Fences",1
123,120,"Composite Fences",1
124,120,"Ornamental Metal Fences",1
125,120,"Chain Link Metal Fences",1
126,120,"Panel Fences",1
127,120,"Plastic Fences",1
128,120,"Post Fences",1
129,120,"Rail Fences",1
130,120,"Razor Wire Fences",1
131,120,"Wood Fences",1
132,120,"Fencing Fabrics",1
133,120,"Fencing Accessories",1
134,133,"Barbed Wire",1
135,133,"Concertina Wire",1
136,133,"Fence Posts",1
137,1,"Landscaping",1
138,137,"Plant Maintenance and Preparation Products",1
139,138,"Topsoil",1
140,139,"Loam",1
141,139,"Peat Soil",1
142,138,"Soil Fertilizers",1
143,138,"Soil Herbicides",1
144,143,"Combined Soil Fertilizer and Herbicides",1
145,138,"Mulch",1
146,138,"Soil Mats",1
147,138,"Plant Netting",1
148,138,"Landscaping Stakes",1
149,138,"Landscaping Blankets",1
150,138,"Landscaping Ground Covers",1
151,138,"Landscaping Forms",1
152,138,"Landscaping Stabilizers",1
153,138,"Lime",1
154,138,"Mowing Equipment",1
155,154,"Lawnmowers",1
156,154,"Garden Tractors",1
157,138,"Pruning Equipment",1
158,138,"Watering Equipment",1
159,137,"Planting Accessories",1
160,159,"Landscaping Edging",1
161,159,"Landscape Timbers",1
162,159,"Landscape Stone",1
163,162,"Boulders",1
164,159,"Planters",1
165,159,"Tree Grates",1
166,159,"Tree Grids",1
167,159,"Tree Guards",1
168,159,"Plant Tubs",1
169,137,"Irrigation Equipment",1
170,169,"Irrigation Sprinklers",1
171,170,"Installed Sprinkler Heads",1
172,170,"Portable Lawn Sprinklers",1
173,169,"Irrigation Hoses",1
174,173,"Irrigation Weep Hoses",1
175,137,"Lawns and Grasses",1
176,175,"Hydro Mulch",1
177,175,"Grass Plugs",1
178,175,"Grass Seeds and Soil Supplements",1
179,175,"Sod",1
180,137,"Plants",1
181,180,"Shrubs",1
182,180,"Trees",1
183,180,"Plants",1
184,180,"Plant Bulbs",1
185,180,"Floral Plant",1
186,180,"Non Flowering Plant",1
187,137,"Pond Equipment",1
188,187,"Pond Liners",1
189,187,"Pond Filters",1
190,1,"Site Furnishings",1
191,190,"Bicycle Racks and Shelters",1
192,191,"Bicycle Racks",1
193,191,"Bicycle Shelters",1
194,191,"Bicycle Lockers",1
195,190,"Exterior Seating",1
196,195,"Exterior Benches",1
197,195,"Exterior Chairs",1
198,190,"Exterior Tables",1
199,190,"Patio Furniture",1
200,199,"Patio Seating",1
201,200,"Patio Chairs",1
202,200,"Patio Benches",1
203,200,"Patio Chaise Lounges",1
204,200,"Patio Sofas",1
205,199,"Patio Tables",1
206,205,"Patio Dining Tables",1
207,205,"Patio Sofa Tables",1
208,190,"Exterior Trash Receptacles",1
209,208,"Exterior Wood Trash Receptacles",1
210,208,"Exterior Concrete Trash Receptacles",1
211,208,"Exterior Metal Trash Receptacles",1
212,190,"Exterior Specialties",1
213,212,"Sundials",1
214,212,"Garden Ornaments",1
215,212,"Bird Houses",1
216,212,"Bird Feeders",1
217,212,"Bird Baths",1
218,190,"Exterior Storage Structures",1
219,218,"Storage Sheds",1
220,218,"Barns",1
